2.40, pv:-2.50, o:-8.68, s:63.00
sp:-2.40, pv:-2.52, o:-9.72, s:64.00
sp:-2.40, pv:-2.54, o:-9.34, s:64.00
sp:-2.40, pv:-2.56, o:-12.07, s:67.00
sp:-2.40, pv:-2.56, o:-9.30, s:64.00
sp:-2.40, pv:-2.57, o:-10.45, s:65.00
sp:-2.40, pv:-2.57, o:-9.90, s:64.00
sp:-2.40, pv:-2.60, o:-16.08, s:71.00
sp:-2.40, pv:-2.47, o:11.69, s:66.00
sp:-2.40, pv:-2.46, o:-3.56, s:58.00
sp:-2.40, pv:-2.43, o:-0.46, s:56.00
sp:-2.40, pv:-2.43, o:-3.49, s:58.00
sp:-2.40, pv:-2.55, o:-24.36, s:78.00
sp:-2.40, pv:-2.55, o:-9.71, s:64.00
sp:-2.40, pv:-2.62, o:-20.94, s:74.00
sp:-2.40, pv:-2.66, o:-20.23, s:74.00
sp:-2.39, pv:-2.58, o:-3.12, s:58.00
sp:-2.39, pv:-2.55, o:-5.23, s:60.00
sp:-2.39, pv:-2.55, o:-10.18, s:65.00
sp:-2.39, pv:-2.45, o:6.35, s:61.00
sp:-2.39, pv:-2.45, o:-6.13, s:61.00
sp:-2.39, pv:-2.46, o:-6.05, s:61.00
sp:-2.39, pv:-2.50, o:-13.26, s:68.00
sp:-2.39, pv:-2.53, o:-13.94, s:68.00
sp:-2.39, pv:-2.58, o:-18.28, s:72.00
sp:-2.39, pv:-2.58, o:-12.62, s:67.00
sp:-2.38, pv:-2.53, o:-4.59, s:59.00
sp:-2.38, pv:-2.50, o:-5.83, s:60.00
sp:-2.38, pv:-2.45, o:-0.48, s:56.00
sp:-2.38, pv:-2.44, o:-5.02, s:60.00
sp:-2.38, pv:-2.45, o:-7.15, s:62.00
sp:-2.38, pv:-2.45, o:-6.58, s:61.00
sp:-2.38, pv:-2.46, o:-9.44, s:64.00
sp:-2.38, pv:-2.46, o:-7.48, s:62.00
sp:-2.38, pv:-2.45, o:-4.85, s:59.00
sp:-2.38, pv:-2.43, o:-3.42, s:58.00
sp:-2.38, pv:-2.42, o:-3.70, s:58.00
sp:-2.38, pv:-2.41, o:-4.37, s:59.00
sp:-2.38, pv:-2.41, o:-5.01, s:60.00
sp:-2.38, pv:-2.40, o:-3.70, s:58.00
sp:-2.38, pv:-2.41, o:-5.86, s:60.00
sp:-2.38, pv:-2.42, o:-5.66, s:60.00
sp:-2.38, pv:-2.41, o:-5.01, s:60.00
sp:-2.38, pv:-2.40, o:-3.14, s:58.00
sp:-2.38, pv:-2.38, o:-1.47, s:56.00
sp:-2.38, pv:-2.38, o:-3.70, s:58.00
sp:-2.38, pv:-2.37, o:-1.00, s:56.00
sp:-2.38, pv:-2.36, o:-0.80, s:56.00
sp:-2.38, pv:-2.35, o:-1.29, s:56.00
sp:-2.38, pv:-2.35, o:-1.90, s:56.00
sp:-2.38, pv:-2.35, o:-1.48, s:56.00
sp:-2.38, pv:-2.35, o:-1.78, s:56.00
sp:-2.38, pv:-2.34, o:0.11, s:56.00
sp:-2.38, pv:-2.34, o:-1.19, s:56.00
sp:-2.38, pv:-2.31, o:3.66, s:58.00
sp:-2.38, pv:-2.32, o:-2.13, s:57.00
sp:-2.38, pv:-2.30, o:3.60, s:58.00
sp:-2.38, pv:-2.33, o:-3.90, s:58.00
sp:-2.38, pv:-2.33, o:-0.51, s:56.00
sp:-2.38, pv:-2.31, o:2.83, s:57.00
sp:-2.38, pv:-2.30, o:2.58, s:57.00
sp:-2.38, pv:-2.26, o:7.12, s:62.00
sp:-2.38, pv:-2.25, o:4.82, s:59.00
sp:-2.38, pv:-2.26, o:2.71, s:57.00
sp:-2.38, pv:-2.27, o:2.06, s:57.00
sp:-2.38, pv:-2.27, o:3.09, s:58.00
sp:-2.38, pv:-2.27, o:1.84, s:56.00
sp:-2.38, pv:-2.28, o:1.78, s:56.00
sp:-2.38, pv:-2.27, o:4.16, s:59.00
sp:-2.38, pv:-2.27, o:3.08, s:58.00
sp:-2.38, pv:-2.28, o:1.04, s:56.00
sp:-2.38, pv:-2.34, o:-8.14, s:63.00
sp:-2.38, pv:-2.34, o:-0.46, s:56.00
sp:-2.38, pv:-2.42, o:-14.60, s:69.00
sp:-2.38, pv:-2.48, o:-14.03, s:69.00
sp:-2.38, pv:-2.44, o:-0.46, s:56.00
sp:-2.38, pv:-2.43, o:-4.06, s:59.00
sp:-2.38, pv:-2.42, o:-2.64, s:57.00
sp:-2.38, pv:-2.42, o:-4.43, s:59.00
sp:-2.38, pv:-2.42, o:-5.94, s:60.00
sp:-2.38, pv:-2.42, o:-4.91, s:59.00
sp:-2.38, pv:-2.28, o:20.47, s:74.00
sp:-2.38, pv:-2.18, o:20.62, s:74.00
sp:-2.38, pv:-2.06, o:28.66, s:82.00
sp:-2.39, pv:-2.10, o:7.01, s:62.00
sp:-2.39, pv:-2.10, o:12.33, s:67.00
sp:-2.39, pv:-2.05, o:20.67, s:74.00
sp:-2.39, pv:-2.06, o:14.07, s:69.00
sp:-2.39, pv:-2.03, o:20.32, s:74.00
sp:-2.39, pv:-2.05, o:13.29, s:68.00
sp:-2.40, pv:-2.10, o:7.21, s:62.00
sp:-2.40, pv:-2.21, o:-4.07, s:59.00
sp:-2.40, pv:-2.21, o:8.77, s:63.00
sp:-2.40, pv:-2.29, o:-5.50, s:60.00
sp:-2.40, pv:-2.24, o:13.89, s:68.00
sp:-2.40, pv:-2.19, o:15.32, s:70.00
sp:-2.40, pv:-2.18, o:12.02, s:67.00
sp:-2.40, pv:-2.18, o:11.40, s:66.00
sp:-2.40, pv:-2.18, o:11.25, s:66.00
sp:-2.41, pv:-2.14, o:17.71, s:72.00
sp:-2.41, pv:-2.14, o:13.54, s:68.00
sp:-2.41, pv:-2.15, o:12.43, s:67.00
sp:-2.41, pv:-2.18, o:8.40, s:63.00
sp:-2.41, pv:-2.18, o:11.86, s:66.00
sp:-2.41, pv:-2.29, o:-5.78, s:60.00
sp:-2.41, pv:-2.29, o:7.24, s:62.00
sp:-2.41, pv:-2.30, o:5.13, s:60.00
sp:-2.41, pv:-2.30, o:6.31, s:61.00
sp:-2.41, pv:-2.25, o:15.35, s:70.00
sp:-2.42, pv:-2.23, o:12.71, s:67.00
sp:-2.42, pv:-2.23, o:10.73, s:65.00
sp:-2.42, pv:-2.22, o:12.86, s:67.00
sp:-2.42, pv:-2.22, o:11.63, s:66.00
sp:-2.42, pv:-2.27, o:2.23, s:57.00
sp:-2.42, pv:-2.31, o:2.85, s:57.00
sp:-2.42, pv:-2.34, o:2.55, s:57.00
sp:-2.42, pv:-2.34, o:5.94, s:60.00
sp:-2.42, pv:-2.33, o:7.86, s:62.00
sp:-2.42, pv:-2.33, o:6.65, s:61.00
sp:-2.42, pv:-2.33, o:5.69, s:60.00
sp:-2.42, pv:-2.33, o:6.47, s:61.00
sp:-2.42, pv:-2.36, o:1.29, s:56.00
sp:-2.42, pv:-2.38, o:2.52, s:57.00
sp:-2.42, pv:-2.40, o:0.11, s:56.00
sp:-2.42, pv:-2.41, o:1.64, s:56.00
sp:-2.42, pv:-2.41, o:2.71, s:57.00
sp:-2.42, pv:-2.43, o:0.01, s:56.00
sp:-2.42, pv:-2.42, o:2.72, s:57.00
sp:-2.42, pv:-2.41, o:3.63, s:58.00
sp:-2.42, pv:-2.41, o:2.64, s:57.00
sp:-2.42, pv:-2.42, o:0.71, s:56.00
sp:-2.42, pv:-2.44, o:0.19, s:56.00
sp:-2.42, pv:-2.44, o:1.52, s:56.00
sp:-2.42, pv:-2.46, o:-2.61, s:57.00
sp:-2.42, pv:-2.46, o:0.15, s:56.00
sp:-2.42, pv:-2.47, o:-0.78, s:56.00
sp:-2.42, pv:-2.44, o:4.59, s:59.00
sp:-2.42, pv:-2.44, o:0.27, s:56.00
sp:-2.42, pv:-2.42, o:5.52, s:60.00
sp:-2.42, pv:-2.42, o:2.28, s:57.00
sp:-2.42, pv:-2.43, o:0.77, s:56.00
sp:-2.42, pv:-2.40, o:6.47, s:61.00
sp:-2.42, pv:-2.43, o:-1.24, s:56.00
sp:-2.42, pv:-2.43, o:1.30, s:56.00
sp:-2.42, pv:-2.45, o:-2.29, s:57.00
sp:-2.42, pv:-2.45, o:0.56, s:56.00
sp:-2.42, pv:-2.43, o:4.89, s:59.00
sp:-2.42, pv:-2.43, o:1.79, s:56.00
sp:-2.42, pv:-2.39, o:8.80, s:63.00
sp:-2.42, pv:-2.38, o:5.89, s:60.00
sp:-2.42, pv:-2.39, o:1.92, s:56.00
sp:-2.42, pv:-2.41, o:0.29, s:56.00
sp:-2.42, pv:-2.41, o:2.76, s:57.00
sp:-2.42, pv:-2.43, o:-1.37, s:56.00
sp:-2.42, pv:-2.44, o:0.71, s:56.00
sp:-2.42, pv:-2.43, o:2.34, s:57.00
sp:-2.42, pv:-2.39, o:9.65, s:64.00
sp:-2.42, pv:-2.36, o:8.74, s:63.00
sp:-2.42, pv:-2.34, o:8.72, s:63.00
sp:-2.42, pv:-2.34, o:6.38, s:61.00
sp:-2.42, pv:-2.35, o:5.38, s:60.00
sp:-2.42, pv:-2.37, o:2.56, s:57.00
sp:-2.42, pv:-2.38, o:3.41, s:58.00
sp:-2.42, pv:-2.38, o:3.97, s:58.00
sp:-2.42, pv:-2.37, o:6.81, s:61.00
sp:-2.42, pv:-2.37, o:5.20, s:60.00
sp:-2.42, pv:-2.36, o:7.49, s:62.00
sp:-2.42, pv:-2.36, o:5.93, s:60.00
sp:-2.42, pv:-2.35, o:6.69, s:61.00
sp:-2.42, pv:-2.35, o:5.81, s:60.00
sp:-2.42, pv:-2.36, o:4.45, s:59.00
sp:-2.42, pv:-2.37, o:4.77, s:59.00
sp:-2.42, pv:-2.37, o:5.46, s:60.00
sp:-2.42, pv:-2.38, o:3.67, s:58.00
sp:-2.42, pv:-2.38, o:5.62, s:60.00
sp:-2.42, pv:-2.37, o:5.91, s:60.00
sp:-2.42, pv:-2.37, o:5.60, s:60.00
sp:-2.42, pv:-2.38, o:4.57, s:59.00
sp:-2.42, pv:-2.39, o:3.61, s:58.00
sp:-2.42, pv:-2.39, o:4.82, s:59.00
sp:-2.42, pv:-2.41, o:0.70, s:56.00
sp:-2.42, pv:-2.42, o:2.53, s:57.00
sp:-2.42, pv:-2.42, o:2.70, s:57.00
sp:-2.42, pv:-2.42, o:2.75, s:57.00
sp:-2.42, pv:-2.43, o:2.22, s:57.00
sp:-2.42, pv:-2.43, o:2.80, s:57.00
sp:-2.42, pv:-2.45, o:-1.43, s:56.00
sp:-2.42, pv:-2.45, o:1.57, s:56.00
sp:-2.42, pv:-2.49, o:-4.74, s:59.00
sp:-2.42, pv:-2.47, o:3.10, s:58.00
sp:-2.42, pv:-2.48, o:-1.71, s:56.00
sp:-2.42, pv:-2.44, o:6.46, s:61.00
sp:-2.42, pv:-2.44, o:1.81, s:56.00
sp:-2.42, pv:-2.45, o:0.07, s:56.00
sp:-2.42, pv:-2.45, o:1.28, s:56.00
sp:-2.42, pv:-2.47, o:-2.22, s:57.00
sp:-2.42, pv:-2.50, o:-4.03, s:59.00
sp:-2.42, pv:-2.51, o:-2.80, s:57.00
sp:-2.42, pv:-2.49, o:1.60, s:56.00
sp:-2.42, pv:-2.49, o:-0.71, s:56.00
sp:-2.42, pv:-2.49, o:-1.84, s:56.00
sp:-2.42, pv:-2.47, o:3.93, s:58.00
sp:-2.42, pv:-2.46, o:1.91, s:56.00
sp:-2.42, pv:-2.45, o:1.58, s:56.00
sp:-2.42, pv:-2.45, o:1.55, s:56.00
sp:-2.42, pv:-2.46, o:-0.31, s:56.00
sp:-2.42, pv:-2.46, o:0.69, s:56.00
sp:-2.42, pv:-2.46, o:0.58, s:56.00
sp:-2.42, pv:-2.46, o:0.53, s:56.00
sp:-2.42, pv:-2.44, o:2.91, s:57.00
sp:-2.42, pv:-2.48, o:-4.51, s:59.00
sp:-2.42, pv:-2.53, o:-8.89, s:63.00
sp:-2.42, pv:-2.53, o:-2.94, s:57.00
sp:-2.42, pv:-2.59, o:-14.15, s:69.00
sp:-2.42, pv:-2.59, o:-6.42, s:61.00
sp:-2.42, pv:-2.62, o:-11.75, s:66.00
sp:-2.42, pv:-2.57, o:0.53, s:56.00
sp:-2.42, pv:-2.55, o:-2.22, s:57.00
sp:-2.42, pv:-2.54, o:-2.62, s:57.00
sp:-2.42, pv:-2.54, o:-4.28, s:59.00
sp:-2.42, pv:-2.55, o:-6.11, s:61.00
sp:-2.42, pv:-2.56, o:-7.79, s:62.00
sp:-2.42, pv:-2.58, o:-9.68, s:64.00
sp:-2.42, pv:-2.53, o:1.67, s:56.00
sp:-2.42, pv:-2.46, o:7.68, s:62.00
sp:-2.42, pv:-2.36, o:17.93, s:72.00
sp:-2.42, pv:-2.36, o:4.53, s:59.00
sp:-2.42, pv:-2.36, o:3.53, s:58.00
sp:-2.42, pv:-2.37, o:2.08, s:57.00
sp:-2.42, pv:-2.40, o:-0.99, s:56.00
sp:-2.42, pv:-2.39, o:4.88, s:59.00
sp:-2.42, pv:-2.40, o:0.57, s:56.00
sp:-2.42, pv:-2.40, o:2.39, s:57.00
sp:-2.42, pv:-2.41, o:0.24, s:56.00
sp:-2.42, pv:-2.41, o:1.78, s:56.00
sp:-2.42, pv:-2.50, o:-13.73, s:68.00
sp:-2.42, pv:-2.56, o:-13.54, s:68.00
sp:-2.42, pv:-2.61, o:-14.15, s:69.00
sp:-2.42, pv:-2.57, o:-1.51, s:56.00
sp:-2.42, pv:-2.57, o:-6.68, s:61.00
