kps 0.3
kis 0.7

kpp 30
kip 120
kdp 0.5

pitch set point, pitch, speed set point, speed, filtered speed
0.40, -0.49, 0.00, 0.00, 0.00
0.40, -0.48, 0.00, 0.00, 0.00
0.40, -0.48, 0.00, 0.00, 0.00
0.40, -0.47, 0.00, -1.00, -0.00
0.40, -0.43, 0.00, -1.50, -0.01
0.41, -0.38, 0.00, -0.50, -0.03
0.42, -0.33, 0.00, -1.50, -0.06
0.43, -0.27, 0.00, -1.00, -0.09
0.44, -0.25, 0.00, -1.00, -0.13
0.45, -0.25, 0.00, -1.50, -0.17
0.47, -0.17, 0.00, -1.50, -0.22
0.48, -0.05, 0.00, -1.00, -0.27
0.50, 0.03, 0.00, -1.00, -0.33
0.52, 0.13, 0.00, -1.50, -0.38
0.54, 0.16, 0.00, -1.00, -0.43
0.55, 0.20, 0.00, -1.50, -0.49
0.57, 0.20, 0.00, -1.00, -0.55
0.59, 0.35, 0.00, -1.50, -0.60
0.61, 0.40, 0.00, -2.00, -0.66
0.63, 0.46, 0.00, -1.00, -0.71
0.65, 0.53, 0.00, -1.50, -0.77
0.67, 0.55, 0.00, -1.00, -0.82
0.68, 0.55, 0.00, -1.00, -0.87
0.70, 0.67, 0.00, -1.50, -0.92
0.71, 0.67, 0.00, -1.00, -0.96
0.73, 0.80, 0.00, -2.00, -1.00
0.74, 0.88, 0.00, -0.50, -1.04
0.76, 0.92, 0.00, -0.50, -1.07
0.77, 0.98, 0.00, 0.00, -1.09
0.77, 0.98, 0.00, 0.00, -1.10
0.77, 1.03, 0.00, 0.00, -1.10
0.77, 1.07, 0.00, 0.00, -1.09
0.77, 1.10, 0.00, 1.00, -1.06
0.76, 1.10, 0.00, 0.50, -1.03
0.75, 1.15, 0.00, 1.00, -0.98
0.74, 1.08, 0.00, 0.00, -0.92
0.72, 1.08, 0.00, 1.00, -0.86
0.70, 1.05, 0.00, 0.50, -0.79
0.68, 1.01, 0.00, 0.00, -0.72
0.66, 1.05, 0.00, 0.50, -0.65
0.64, 1.01, 0.00, 0.00, -0.58
0.62, 1.02, 0.00, 0.50, -0.51
0.60, 1.02, 0.00, 1.00, -0.44
0.58, 1.06, 0.00, 0.50, -0.37
0.56, 1.06, 0.00, 1.00, -0.30
0.54, 1.01, 0.00, 1.00, -0.22
0.52, 0.96, 0.00, 1.00, -0.15
0.50, 0.93, 0.00, 1.00, -0.07
0.47, 0.89, 0.00, 1.00, 0.01
0.45, 0.89, 0.00, 0.50, 0.08
0.43, 0.85, 0.00, 1.50, 0.15
0.41, 0.85, 0.00, 0.50, 0.22
0.39, 0.83, 0.00, 1.50, 0.29
0.36, 0.82, 0.00, 1.00, 0.36
0.34, 0.80, 0.00, 1.00, 0.42
0.32, 0.76, 0.00, 1.50, 0.49
0.30, 0.76, 0.00, 1.00, 0.55
0.28, 0.69, 0.00, 1.00, 0.61
0.26, 0.65, 0.00, 1.50, 0.67
0.25, 0.62, 0.00, 1.00, 0.72
0.23, 0.60, 0.00, 1.50, 0.77
0.21, 0.59, 0.00, 1.00, 0.82
0.19, 0.58, 0.00, 1.50, 0.87
0.18, 0.58, 0.00, 0.50, 0.91
0.16, 0.53, 0.00, 1.50, 0.95
0.15, 0.50, 0.00, 1.50, 0.99
0.14, 0.45, 0.00, 1.00, 1.02
0.12, 0.41, 0.00, 1.00, 1.05
0.11, 0.39, 0.00, 1.00, 1.08
0.10, 0.39, 0.00, 1.00, 1.10
0.09, 0.35, 0.00, 1.50, 1.12
0.09, 0.35, 0.00, 0.50, 1.14
0.08, 0.29, 0.00, 1.50, 1.15
0.07, 0.26, 0.00, 1.50, 1.17
0.07, 0.21, 0.00, 0.50, 1.18
0.06, 0.18, 0.00, 1.50, 1.19
0.05, 0.18, 0.00, 1.00, 1.19
0.05, 0.12, 0.00, 0.00, 1.20
0.05, 0.12, 0.00, 1.00, 1.19
0.05, 0.11, 0.00, 0.50, 1.18
0.05, 0.10, 0.00, 1.00, 1.17
0.05, 0.13, 0.00, 0.50, 1.16
0.05, 0.12, 0.00, 1.00, 1.14
0.05, 0.12, 0.00, 0.50, 1.12
0.05, 0.09, 0.00, 1.50, 1.11
0.06, 0.05, 0.00, 0.50, 1.09
0.06, -0.03, 0.00, 1.00, 1.07
0.06, -0.05, 0.00, 0.00, 1.05
0.07, -0.04, 0.00, -0.50, 1.03
0.07, -0.04, 0.00, 0.00, 1.00
0.08, -0.02, 0.00, -0.50, 0.96
0.09, -0.02, 0.00, -0.50, 0.91
0.11, -0.01, 0.00, -1.00, 0.85
0.13, 0.00, 0.00, -0.50, 0.79
0.14, -0.01, 0.00, 0.00, 0.72
0.16, 0.01, 0.00, -1.00, 0.65
0.18, 0.01, 0.00, -0.50, 0.58
0.20, 0.06, 0.00, -0.50, 0.51
0.22, 0.06, 0.00, -0.50, 0.43
0.24, 0.13, 0.00, -0.50, 0.36
0.26, 0.14, 0.00, -0.50, 0.29
0.28, 0.13, 0.00, 0.00, 0.22
0.30, 0.16, 0.00, -0.50, 0.16
0.32, 0.16, 0.00, 0.00, 0.10
0.34, 0.17, 0.00, -0.50, 0.05
0.35, 0.19, 0.00, -0.50, -0.00
0.37, 0.17, 0.00, -1.00, -0.06
0.38, 0.17, 0.00, -0.50, -0.11
0.40, 0.20, 0.00, -1.00, -0.15
0.41, 0.21, 0.00, -1.50, -0.21
0.43, 0.21, 0.00, -0.50, -0.26
0.45, 0.23, 0.00, -1.50, -0.31
0.46, 0.21, 0.00, -1.50, -0.37
0.48, 0.24, 0.00, -1.00, -0.42
0.50, 0.31, 0.00, -1.50, -0.48
0.52, 0.36, 0.00, -1.00, -0.54
0.54, 0.36, 0.00, -0.50, -0.59
0.55, 0.44, 0.00, -0.50, -0.64
0.57, 0.44, 0.00, -0.50, -0.68
0.58, 0.42, 0.00, -0.50, -0.71
0.59, 0.46, 0.00, -0.50, -0.74
0.60, 0.47, 0.00, -0.50, -0.76
0.60, 0.48, 0.00, -0.50, -0.77
0.61, 0.48, 0.00, -0.50, -0.78
0.61, 0.52, 0.00, -1.00, -0.79
0.62, 0.52, 0.00, -1.00, -0.80
0.62, 0.53, 0.00, -0.50, -0.81
0.63, 0.55, 0.00, -1.00, -0.81
0.63, 0.54, 0.00, -1.00, -0.82
0.63, 0.54, 0.00, -0.50, -0.82
0.64, 0.54, 0.00, -1.00, -0.83
0.64, 0.55, 0.00, -1.50, -0.83
0.65, 0.54, 0.00, -1.50, -0.84
0.65, 0.53, 0.00, -1.00, -0.85
0.66, 0.51, 0.00, -1.50, -0.87
0.67, 0.59, 0.00, -1.00, -0.89
0.68, 0.68, 0.00, -1.50, -0.90
0.68, 0.68, 0.00, -0.50, -0.92
0.69, 0.74, 0.00, 0.00, -0.94
