kps 0.25
kis 0.4

kpp 30
kip 120
kdp 0.5

pitch set point, pitch, speed set point, speed, filtered speed
0.40,-0.59,0.00,0.00,0.00
0.40,-0.57,0.00,0.00,0.00
0.40,-0.57,0.00,0.00,0.00
0.40,-0.55,0.00,-1.00,-0.00
0.40,-0.55,0.00,0.00,-0.01
0.40,-0.43,0.00,-1.00,-0.02
0.41,-0.34,0.00,-0.50,-0.03
0.41,-0.26,0.00,-0.50,-0.05
0.42,-0.21,0.00,-1.00,-0.07
0.42,-0.21,0.00,0.00,-0.10
0.43,-0.12,0.00,-1.50,-0.12
0.43,-0.09,0.00,-1.00,-0.15
0.44,-0.05,0.00,-1.00,-0.19
0.45,0.01,0.00,-0.50,-0.23
0.46,0.07,0.00,-1.50,-0.27
0.46,0.15,0.00,-0.50,-0.31
0.47,0.15,0.00,-1.00,-0.35
0.48,0.30,0.00,-1.50,-0.39
0.49,0.37,0.00,-1.00,-0.43
0.50,0.45,0.00,-0.50,-0.47
0.51,0.49,0.00,-0.50,-0.51
1.73,0.53,6.00,0.00,-0.55
1.74,0.53,6.00,-0.50,-0.57
1.76,0.63,6.00,-0.50,-0.59
1.77,0.63,6.00,-0.50,-0.61
1.78,0.74,6.00,-1.00,-0.62
0.59,0.78,0.00,-0.50,-0.64
0.59,0.79,0.00,-1.00,-0.65
0.59,0.99,0.00,-0.50,-0.66
0.60,0.99,0.00,-0.50,-0.67
0.60,1.00,0.00,0.00,-0.68
0.60,1.02,0.00,0.00,-0.68
0.60,1.03,0.00,1.00,-0.67
0.60,1.09,0.00,0.50,-0.65
0.59,1.13,0.00,0.50,-0.62
0.59,1.14,0.00,0.00,-0.59
0.58,1.14,0.00,0.00,-0.55
0.57,1.08,0.00,0.50,-0.51
0.57,1.06,0.00,0.50,-0.47
0.56,1.01,0.00,0.00,-0.43
0.55,1.03,0.00,0.00,-0.38
0.54,1.07,0.00,1.00,-0.34
0.53,1.07,0.00,0.00,-0.29
0.52,1.11,0.00,1.50,-0.25
0.51,1.11,0.00,0.50,-0.19
0.50,1.07,0.00,1.00,-0.14
0.49,1.01,0.00,0.50,-0.08
0.48,0.96,0.00,1.00,-0.02
0.47,0.94,0.00,0.50,0.03
0.46,0.94,0.00,0.50,0.09
0.45,0.93,0.00,1.00,0.14
0.44,0.93,0.00,0.00,0.19
0.43,0.93,0.00,1.00,0.24
0.42,0.92,0.00,1.50,0.28
0.41,0.91,0.00,1.00,0.33
0.40,0.89,0.00,0.50,0.38
0.39,0.89,0.00,1.00,0.43
0.38,0.86,0.00,1.00,0.47
0.37,0.83,0.00,0.50,0.51
0.36,0.81,0.00,1.00,0.55
0.35,0.78,0.00,1.00,0.59
0.34,0.76,0.00,1.00,0.62
0.33,0.74,0.00,1.00,0.66
0.33,0.74,0.00,1.00,0.69
0.32,0.69,0.00,1.00,0.72
0.31,0.67,0.00,1.50,0.76
0.30,0.65,0.00,1.00,0.79
0.30,0.61,0.00,1.00,0.82
0.29,0.58,0.00,1.00,0.85
0.28,0.58,0.00,1.00,0.87
0.28,0.52,0.00,1.50,0.90
0.27,0.52,0.00,1.00,0.92
