kps 0.2
kis 0.25

kpp 40
kip 90
kdp 2

pitch set point, pitch, speed set point, speed, filtered speed
0.40,-0.58,0.00,0.00,0.00
0.40,-0.58,0.00,0.00,0.00
0.40,-0.54,0.00,-1.50,-0.00
0.40,-0.54,0.00,0.00,-0.01
0.41,-0.42,0.00,-2.00,-0.03
0.41,-0.36,0.00,-1.50,-0.06
0.42,-0.30,0.00,-0.50,-0.09
0.43,-0.23,0.00,-0.50,-0.13
0.43,-0.23,0.00,-1.00,-0.17
0.44,-0.24,0.00,-0.50,-0.21
0.45,-0.19,0.00,-0.50,-0.24
0.46,-0.12,0.00,-1.00,-0.28
0.46,-0.06,0.00,-0.50,-0.31
0.47,0.01,0.00,-0.50,-0.35
0.48,0.05,0.00,0.00,-0.38
0.48,0.05,0.00,0.00,-0.40
0.49,0.09,0.00,0.50,-0.41
0.49,0.15,0.00,0.00,-0.42
0.49,0.21,0.00,0.00,-0.42
0.49,0.25,0.00,0.00,-0.42
0.49,0.23,0.00,0.00,-0.41
0.49,0.23,0.00,0.00,-0.40
0.48,0.24,0.00,0.00,-0.39
0.48,0.24,0.00,-0.50,-0.38
0.48,0.33,0.00,-0.50,-0.37
0.48,0.37,0.00,-1.00,-0.36
0.48,0.41,0.00,0.00,-0.35
0.48,0.45,0.00,0.00,-0.35
0.48,0.45,0.00,0.00,-0.34
0.47,0.46,0.00,1.00,-0.33
0.47,0.46,0.00,0.00,-0.31
0.47,0.49,0.00,0.00,-0.29
0.46,0.50,0.00,0.00,-0.27
0.46,0.53,0.00,0.00,-0.25
0.46,0.54,0.00,0.00,-0.23
0.45,0.54,0.00,0.50,-0.21
0.45,0.56,0.00,0.00,-0.19
0.44,0.58,0.00,0.50,-0.16
0.44,0.55,0.00,0.00,-0.14
0.43,0.58,0.00,0.00,-0.11
0.43,0.54,0.00,0.00,-0.09
0.42,0.59,0.00,0.00,-0.07
0.42,0.59,0.00,0.00,-0.06
0.42,0.61,0.00,0.00,-0.04
0.42,0.65,0.00,0.50,-0.02
0.41,0.68,0.00,0.50,-0.01
0.41,0.65,0.00,0.50,0.01
0.40,0.62,0.00,0.00,0.03
0.40,0.62,0.00,0.00,0.05
0.40,0.60,0.00,0.00,0.07
0.39,0.60,0.00,0.00,0.08
